Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-31,10.2721,10.4349,8.83044,9.02852,50407480.544426
2005-02-28,9.05982,10.8903,9.02852,10.7921,80069884.812367
2005-03-31,10.6304,10.665,9.68374,10.0727,47752161.988719
2005-04-30,10.1075,10.6958,9.64617,9.78003,35479829.417301
2005-05-31,9.81181,10.3376,9.05982,9.61633,29355582.89524
2005-06-30,9.5181,11.5789,9.48536,11.1196,57933583.06975
2005-07-31,11.1196,13.2391,11.0136,12.9954,63469160.353048
2005-08-31,12.9579,14.384,12.7528,13.8659,44683874.532278
2005-09-30,13.8968,16.5055,13.76,16.3341,60774854.507505
2005-10-31,16.1925,16.8868,15.011,16.1559,50376970.061722
2005-11-30,16.1925,19.0747,16.1925,18.832,33375247.868227
2005-12-31,18.9024,22.6195,18.7964,21.7181,26761365.265023
2006-01-31,21.4755,29.5356,21.3695,25.3669,63492468.19772
2006-02-28,24.3229,26.4762,23.1423,24.9816,51958501.561376
2006-03-31,25.3669,29.7802,23.801,28.8422,40103160.817412
2006-04-30,28.98,41.6961,28.98,39.0922,41171288.361171
2006-05-31,39.436,47.603,32.3128,34.0876,72475789.217864
2006-06-30,34.9216,38.5693,26.0958,37.5264,58428608.668105
2006-07-31,38.2207,46.9308,37.0035,45.7859,52313579.362765
2006-08-31,46.355,46.7421,38.7243,40.8256,31863686.632506
2006-09-30,40.8256,46.1653,36.6857,38.4201,42778119.438448
2006-10-31,38.5337,45.7859,37.6188,41.7789,39105725.255211
2006-11-30,41.5487,42.351,35.8623,38.7639,39837647.653809
2006-12-31,39.2983,41.7404,33.3471,33.9576,31290056.119808
2007-01-31,33.9181,35.5224,29.9516,34.7193,54338886.202004
2007-02-28,35.0631,38.1553,31.4018,34.205,34063504.792973
2007-03-31,34.205,37.7729,31.7417,37.3521,52335210.122601
2007-04-30,37.3136,46.016,36.1118,40.8256,44627436.214164
2007-05-31,41.9696,45.4045,37.6939,44.2595,36605881.290567
2007-06-30,44.5658,48.6372,41.5093,47.5318,42033673.421817
2007-07-31,47.5318,59.0288,47.3122,55.8895,36115304.380409
2007-08-31,53.9432,55.668,43.4208,51.2026,30612072.50793
2007-09-30,50.8482,56.9054,46.6487,54.6068,21808956.589916
2007-10-31,54.3862,64.1124,54.2966,59.7789,27093061.492315
2007-11-30,57.9233,58.8083,45.4084,49.9633,32086221.771274
2007-12-31,50.4948,52.884,43.1116,46.7797,34222512.16584
2008-01-31,47.0021,49.2131,35.9914,39.9059,52788642.978579
2008-02-29,41.2319,50.1405,40.0157,48.1509,48298179.273631
2008-03-31,47.0897,49.6994,40.3258,45.2774,36883741.536957
2008-04-30,45.1002,47.575,43.7732,45.366,29068529.316308
2008-05-31,46.4272,50.2291,44.7912,45.5865,33300116.544457
2008-06-30,45.8966,46.6487,42.3162,44.2143,25109597.660124
2008-07-31,44.3934,45.1012,36.5692,41.3176,52120471.611046
2008-08-31,41.072,41.072,34.7674,37.6641,30927086.154484
2008-09-30,36.5692,37.4455,22.9353,24.3229,65270085.702536
2008-10-31,24.6407,25.8811,9.7781,14.828,117038737.1067
2008-11-30,15.0417,15.1679,10.7228,14.0729,58366539.91409
2008-12-31,14.0729,15.6224,12.7325,13.6927,52941670.998824
2009-01-31,14.4572,16.8387,12.9521,14.6566,61143561.86832
2009-02-28,14.4139,18.2359,13.8293,16.6297,55542097.477483
2009-03-31,16.5575,25.3215,16.4352,22.2496,67335621.808988
2009-04-30,22.3989,29.3381,21.4263,28.9,57783104.426146
2009-05-31,29.3622,36.4728,29.3622,34.1338,49318263.269439
2009-06-30,35.5474,43.0944,35.1574,39.6864,58240196.753927
2009-07-31,40.1245,49.45,35.74,49.45,53213548.777263
2009-08-31,50.1347,56.0233,43.8474,48.9339,48852824.978296
2009-09-30,49.5626,52.8223,46.4763,49.3922,36144922.8409
2009-10-31,49.5348,58.9392,47.448,56.5376,42189402.431323
2009-11-30,56.0233,63.5124,54.108,61.626,33779437.775025
2009-12-31,62.0266,63.6848,55.5091,60.5965,31052453.178581
2010-01-31,61.3399,62.4252,53.5629,55.4504,43336444.345326
2010-02-28,55.1085,58.5377,48.9339,55.1085,42816294.666152
2010-03-31,56.0811,61.4555,55.6795,61.3419,39075487.882916
2010-04-30,61.3399,67.3431,60.9971,63.1696,33188450.732327
2010-05-31,63.34,63.5692,50.906,56.3122,44358323.80843
2010-06-30,55.8529,57.4437,51.0514,52.2533,37323298.722608
2010-07-31,52.0173,63.8128,52.0173,62.9279,31150494.623498
2010-08-31,63.4007,65.5818,59.9205,63.0463,27610912.059522
2010-09-30,62.8701,69.4164,62.1036,69.1796,31700768.484721
2010-10-31,69.2383,79.0279,69.2383,75.4871,35596763.248857
2010-11-30,76.0793,84.9262,75.4899,79.0279,26250988.369373
2010-12-31,80.7382,102.018,79.9139,102.018,28516722.713774
2011-01-31,101.913,111.398,93.3658,99.1969,36087178.161966
2011-02-28,102.741,105.966,94.0139,103.502,29861491.372283
2011-03-31,104.387,110.464,97.4826,106.275,39001090.738081
2011-04-30,106.805,118.139,106.457,115.182,20302451.531326
2011-05-31,115.48,115.828,104.214,113.247,32468510.923155
2011-06-30,114.114,116.935,108.22,116.184,31618577.828001
