Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2005-01-31,19.4,19.4,19.4,19.4
2005-02-28,19.4,19.4,19.4,19.4
2005-03-31,19.2,19.2,19.2,19.2
2005-04-30,18.7,18.7,18.7,18.7
2005-05-31,18.2,18.2,18.2,18.2
2005-06-30,18,18,18,18
2005-07-31,17.9,17.9,17.9,17.9
2005-08-31,17.7,17.7,17.7,17.7
2005-09-30,17.6,17.6,17.6,17.6
2005-10-31,17.3,17.3,17.3,17.3
2005-11-30,17.3,17.3,17.3,17.3
2005-12-31,17.6,17.6,17.6,17.6
2006-01-31,18,18,18,18
2006-02-28,18,18,18,18
2006-03-31,17.8,17.8,17.8,17.8
2006-04-30,17.2,17.2,17.2,17.2
2006-05-31,16.5,16.5,16.5,16.5
2006-06-30,15.9,15.9,15.9,15.9
2006-07-31,15.7,15.7,15.7,15.7
2006-08-31,15.5,15.5,15.5,15.5
2006-09-30,15.2,15.2,15.2,15.2
2006-10-31,14.9,14.9,14.9,14.9
2006-11-30,14.8,14.8,14.8,14.8
2006-12-31,14.8,14.8,14.8,14.8
2007-01-31,15.1,15.1,15.1,15.1
2007-02-28,14.8,14.8,14.8,14.8
2007-03-31,14.3,14.3,14.3,14.3
2007-04-30,13.6,13.6,13.6,13.6
2007-05-31,12.9,12.9,12.9,12.9
2007-06-30,12.3,12.3,12.3,12.3
2007-07-31,12.1,12.1,12.1,12.1
2007-08-31,11.9,11.9,11.9,11.9
2007-09-30,11.6,11.6,11.6,11.6
2007-10-31,11.3,11.3,11.3,11.3
2007-11-30,11.2,11.2,11.2,11.2
2007-12-31,11.2,11.2,11.2,11.2
2008-01-31,11.5,11.5,11.5,11.5
2008-02-29,11.3,11.3,11.3,11.3
2008-03-31,10.9,10.9,10.9,10.9
2008-04-30,10.3,10.3,10.3,10.3
2008-05-31,9.8,9.8,9.8,9.8
2008-06-30,9.4,9.4,9.4,9.4
2008-07-31,9.2,9.2,9.2,9.2
2008-08-31,9.1,9.1,9.1,9.1
2008-09-30,8.9,8.9,8.9,8.9
2008-10-31,8.8,8.8,8.8,8.8
2008-11-30,9.1,9.1,9.1,9.1
2008-12-31,9.5,9.5,9.5,9.5
2009-01-31,10.4,10.4,10.4,10.4
2009-02-28,10.9,10.9,10.9,10.9
2009-03-31,11.1,11.1,11.1,11.1
2009-04-30,10.9,10.9,10.9,10.9
2009-05-31,10.7,10.7,10.7,10.7
2009-06-30,10.6,10.6,10.6,10.6
2009-07-31,10.7,10.7,10.7,10.7
2009-08-31,10.8,10.8,10.8,10.8
2009-09-30,10.9,10.9,10.9,10.9
2009-10-31,11.1,11.1,11.1,11.1
2009-11-30,11.4,11.4,11.4,11.4
2009-12-31,12.1,12.1,12.1,12.1
2010-01-31,12.9,12.9,12.9,12.9
2010-02-28,13.2,13.2,13.2,13.2
2010-03-31,13,13,13,13
2010-04-30,12.4,12.4,12.4,12.4
2010-05-31,12.1,12.1,12.1,12.1
2010-06-30,11.7,11.7,11.7,11.7
2010-07-31,11.5,11.5,11.5,11.5
2010-08-31,11.4,11.4,11.4,11.4
2010-09-30,11.5,11.5,11.5,11.5
2010-10-31,11.5,11.5,11.5,11.5
2010-11-30,11.7,11.7,11.7,11.7
