Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2005-01-31,20.59,21.45,19.5,20.9
2005-02-28,20.88,22.67,20.14,21.54
2005-03-31,21.66,22.91,21.06,22.48
2005-04-30,22.59,23.73,22.04,22.8
2005-05-31,22.81,25.07,22.03,24.91
2005-06-30,24.89,25.53,23.3,23.47
2005-07-31,23.4,24.31,22.8,24.24
2005-08-31,23.93,24.28,21.88,22.21
2005-09-30,21.78,24.54,21.75,24.08
2005-10-31,24.48,25.96,23.82,24.94
2005-11-30,24.99,27.78,24.23,27.4
2005-12-31,27.28,29.54,26.55,28.62
2006-01-31,28.22,31.21,27.25,30.95
2006-02-28,31.1,31.42,28.74,30.84
2006-03-31,30.79,38.56,30.59,37.04
2006-04-30,37.18,46.37,36.46,41.63
2006-05-31,42.09,45.41,36.93,38.33
2006-06-30,38.27,38.4,30.12,35.1
2006-07-31,34.89,37.89,32.99,34.99
2006-08-31,35.18,39.67,34.75,39.48
2006-09-30,39.81,40.99,32.49,35.72
2006-10-31,35.56,37.34,32.7,37.01
2006-11-30,37.13,40.18,36.97,39.95
2006-12-31,39.86,40.49,35.66,37.35
2007-01-31,37.16,40.97,35.7,40.52
2007-02-28,40.46,43.46,39.63,41.8
2007-03-31,42.15,42.33,36.96,38.55
2007-04-30,38.48,39.89,36.57,37.28
2007-05-31,37.12,38.25,35.53,38
2007-06-30,37.95,39.07,34.07,34.51
2007-07-31,34.25,36.8,33.98,35.75
2007-08-31,35.66,36.09,31.56,33.78
2007-09-30,33.83,36.64,33.66,36.59
2007-10-31,36.39,36.61,34.18,36.37
2007-11-30,36.34,40.17,33.85,34.35
2007-12-31,34.48,37.15,33.89,36.16
2008-01-31,36.22,41.35,36.22,41.06
2008-02-29,40.75,46.08,39.51,45.53
2008-03-31,45.85,49.04,38.528,39.455
2008-04-30,37.846,40.224,36.114,36.728
2008-05-31,36.943,39.41,35.795,36.346
2008-06-30,36.328,38.491,35.609,37.05
2008-07-31,37.056,39.614,34.718,36.447
2008-08-31,36.482,36.563,28.448,30.975
2008-09-30,31.034,31.367,24.716,29.428
2008-10-31,29.309,32.535,23.9,27.156
2008-11-30,27.612,31.912,26.363,30.491
2008-12-31,30.408,33.161,27.887,32.762
2009-01-31,33.904,44.043,31.901,43.591
2009-02-28,43.193,55.868,42.551,48.113
2009-03-31,49.461,50.757,41.536,45.364
2009-04-30,45.47,45.605,38.98,41.73
2009-05-31,41.334,49.89,41.3,49.42
2009-06-30,50.528,50.732,42.947,43.139
2009-07-31,43.079,43.275,39.178,40.507
2009-08-31,41.073,43.686,39.854,42.218
2009-09-30,42.525,49.092,42.071,47.546
2009-10-31,47.896,51.793,46.45,46.925
2009-11-30,47.281,52.08,47.148,50.883
2009-12-31,51.084,52.853,48.106,48.395
2010-01-31,48.797,52.848,46.56,46.997
2010-02-28,47.064,48.436,44.158,47.457
2010-03-31,48.108,50.396,47.443,50.018
2010-04-30,49.978,55.247,49.852,54.943
2010-05-31,54.871,63.453,54.36,61.522
2010-06-30,61.679,64.864,59.853,62.457
2010-07-31,63.064,63.124,53.384,55.288
2010-08-31,55.354,60.884,54.472,60.808
2010-09-30,60.773,64.443,59.725,63.589
2010-10-31,63.235,69.824,62.84,69.575
2010-11-30,70.799,87.36,67.127,86.91
2010-12-31,87.451,92.562,85.453,91.325
2011-01-31,92.128,92.51,75.192,81.295
2011-02-28,80.669,98.286,79.01,97.244
2011-03-31,97.666,108.2,97.094,107.22
2011-04-30,106.88,133.85,106.05,128.53
2011-05-31,118.56,124.73,89.423,104.89
2011-06-30,104.01,105.44,93.587,95.439
2011-07-31,94.383,117.09,91.576,111.09
2011-08-31,109.08,128.16,106.89,119.67
2011-09-30,119.62,133.84,85.286,99.497
2011-10-31,101.62,108.61,94.1,107.88
2011-11-30,109.91,113.27,101.5,110.13
2011-12-31,109.15,111.26,90.293,97.212
2012-01-31,97.753,109.35,96.957,107.23
2012-02-29,107.75,114.61,105,108.19
2012-03-31,107.58,109.53,98.421,100.68
2012-04-30,100.98,103.44,95.208,97.928
2012-05-31,97.613,99.69,93.142,99.454
2012-06-30,98.773,103.13,90.129,91.774
2012-07-31,91.303,95.668,90.983,93.654
2012-08-31,93.343,103.93,89.866,103.92
2012-09-30,105.64,111.6,103.34,110.09
2012-10-31,110.08,112.08,100.34,102.75
2012-11-30,103.63,108.28,98.484,105.27
2012-12-31,105.75,106.72,90.89,93.742
2013-01-31,93.722,101.52,92.313,96.584
2013-02-28,96.669,99.477,88.497,90.497
2013-03-31,90.556,94.932,88.716,92.264
2013-04-30,91.104,91.283,71.544,76.36
2013-05-31,76.608,76.903,69.171,73.655
2013-06-30,73.583,74.533,61.226,64.569
2013-07-31,65.526,67.071,62.018,62.431
2013-08-31,62.81,80.223,60.752,76.12
2013-09-30,77.991,79.387,66.456,67.609
2013-10-31,67.662,69.998,63.499,67.387
2013-11-30,67.484,68.43,60.589,61.765
2013-12-31,61.4,62.082,56.331,58.647
2014-01-31,58.75,62.798,58.612,60.367
2014-02-28,60.113,67.007,59.989,63.627
2014-03-31,65.036,66.502,59.391,59.69
2014-04-30,59.707,61.348,57.386,58.098
2014-05-31,57.558,60.979,56.515,57.006
2014-06-30,56.946,64.543,56.6,63.754
2014-07-31,63.738,65.529,62.35,63.508
2014-08-31,63.455,64.006,60.827,62.321
2014-09-30,62.263,62.544,55.87,56.078
2014-10-31,55.971,58.35,52.899,54.513
2014-11-30,53.83,56.277,51.262,52.232
2014-12-31,49.399,58.574,49.365,55.42
2015-01-31,56.167,69.399,55.488,63.8
2015-02-28,63.531,65.372,59.04,61.321
2015-03-31,61.738,64.754,59.587,63.2049
2015-04-30,63.21,64.354,57.276,58.179
2015-05-31,58.099,64.385,57.327,62.633
2015-06-30,62.79,64.632,57.961,59.2044
2015-07-31,59.31,60.198,54.023,55.611
2015-08-31,55.829,58.88,52.037,55.22
2015-09-30,55.181,57.486,53.088,55.2389
2015-10-31,55.26,63.349,54.784,60.1021
