Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2005-01-31,1326,1345,1288,1312
2005-02-28,1313,1313,1271,1281
2005-03-31,1289,1384,1263,1346
2005-04-30,1360,1444,1342,1438
2005-05-31,1438,1439,1359,1400
2005-06-30,1407,1477,1390,1453
2005-07-31,1457,1468,1424,1441
2005-08-31,1429,1466,1409,1419
2005-09-30,1389,1537,1388,1516
2005-10-31,1542,1566,1492,1538
2005-11-30,1541,1678,1508,1637
2005-12-31,1633,1734,1588,1676
2006-01-31,1652,1802,1637,1793
2006-02-28,1797,1829,1698,1779
2006-03-31,1780,1905,1733,1879
2006-04-30,1886,2034,1882,1996
2006-05-31,2007,2212,1960,1975
2006-06-30,1965,1979,1734,1959
2006-07-31,1937,2180,1868,1961
2006-08-31,1960,2011,1849,1925
2006-09-30,1938,1989,1780,1872
2006-10-31,1859,1875,1734,1833
2006-11-30,1836,1903,1824,1859
2006-12-31,1850,1858,1776,1845
2007-01-31,1831,1975,1795,1961
2007-02-28,1954,2035,1930,1987
2007-03-31,1993,2004,1872,1914
2007-04-30,1915,1945,1857,1887
2007-05-31,1879,1911,1835,1873
2007-06-30,1870,1909,1796,1810
2007-07-31,1791,1887,1777,1842
2007-08-31,1842,1907,1813,1887
2007-09-30,1882,1975,1879,1973
2007-10-31,1966,2010,1921,1995
2007-11-30,2000,2099,1914,1927
2007-12-31,1934,2081,1912,2038
2008-01-31,2044,2290,2044,2251
2008-02-29,2235,2309,2148,2244
2008-03-31,2264,2315.1,2064.3,2072.9
2008-04-30,2036.1,2045.8,1917.3,1920.3
2008-05-31,1920.5,2010.5,1882.1,1919.4
2008-06-30,1919.3,1984.2,1881.1,1966.7
2008-07-31,1963.8,2010.7,1843.9,1888.4
2008-08-31,1881.2,1911.9,1770.8,1889.6
2008-09-30,1889.9,2147.7,1767.6,2115.6
2008-10-31,2110.2,2460.7,1967.5,1988
2008-11-30,2010.2,2511.3,1986.3,2431.7
2008-12-31,2417.7,2609.2,2280.6,2567
2009-01-31,2596.8,3224.4,2449.9,3211.1
2009-02-28,3165.5,3804.3,3012.3,3439.5
2009-03-31,3553.7,3639.1,3066.3,3228.3
2009-04-30,3237.9,3247.5,2833,2977
2009-05-31,2926.9,3143.3,2903.5,3114
2009-06-30,3133.4,3141.9,2941.2,2949.1
2009-07-31,2940.8,2949.6,2737.9,2764.9
2009-08-31,2773.8,2816.3,2688.9,2711.8
2009-09-30,2713.2,2913.2,2705.2,2890.3
2009-10-31,2906.5,3060.2,2882.4,2999.9
2009-11-30,3011.8,3295.9,3007.6,3260.6
2009-12-31,3266.7,3311.1,3124.7,3139.9
2010-01-31,3164.6,3254.6,3115.8,3142.2
2010-02-28,3143.8,3309.9,3107.7,3224.3
2010-03-31,3243.5,3273.6,3102.8,3171.7
2010-04-30,3171.8,3514.7,3162.9,3479.8
2010-05-31,3478,4094.8,3472.7,4028.8
2010-06-30,4052.4,4370.8,4020.2,4180.8
2010-07-31,4215.8,4224.3,3533.4,3617.4
2010-08-31,3612.1,3933,3546.2,3923.4
2010-09-30,3918.2,3924.8,3785.2,3808.2
2010-10-31,3796,3884,3743.9,3862.7
2010-11-30,3871.4,4338.6,3724.9,4280
2010-12-31,4292.8,4298.5,4102.3,4194.3
2011-01-31,4222.2,4231.2,3737.6,3832
2011-02-28,3823.4,4121.1,3746.7,4053
2011-03-31,4049.8,4147.9,3994.2,4082.2
2011-04-30,4067.1,4211,3967.7,4109.1
2011-05-31,4141.8,4319.1,3985.6,4222.1
2011-06-30,4186.5,4334.5,4120.6,4126.9
2011-07-31,4098.1,4625.5,4032.3,4517.1
2011-08-31,4468.6,5525.5,4448.5,5257
2011-09-30,5249.5,5913.9,5075.6,5355.4
2011-10-31,5441.8,5586.7,5099.5,5402
2011-11-30,5492.1,5887.7,5464.4,5839.6
2011-12-31,5823.7,5883.1,5218.4,5430.2
2012-01-31,5459.8,5791.9,5427,5604.1
2012-02-29,5634.8,5645.2,5269.6,5317.6
2012-03-31,5309.7,5358.2,5125.4,5177.2
2012-04-30,5182.5,5348.6,5107.4,5247.5
2012-05-31,5241.8,5593.6,5126.4,5561.5
2012-06-30,5538.2,5765.14,5274.34,5320.81
2012-07-31,5326.84,5544.19,5304.71,5397.21
2012-08-31,5382.55,5586.81,5226.88,5573.57
2012-09-30,5610.58,5707.42,5447.43,5657.28
2012-10-31,5663.86,5673.56,5402.81,5477.84
2012-11-30,5501.24,5705.08,5355.25,5404.88
2012-12-31,5408.03,5470.75,5018.87,5188.57
2013-01-31,5148.25,5321.99,5091.48,5131.24
2013-02-28,5128.56,5254.18,4904.64,5012.45
2013-03-31,5017.14,5266.13,4952.33,5191.52
2013-04-30,5203.27,5212.75,4250.29,4650.01
2013-05-31,4660.54,4695.49,4361.43,4596.64
2013-06-30,4583.12,4611.42,3943.81,4075.5
2013-07-31,4132.82,4290.79,4050.53,4190.76
2013-08-31,4222.48,4598.28,4040.92,4517.17
2013-09-30,4505.88,4576.03,4073.91,4142
2013-10-31,4144.45,4159.72,3876.37,4069.99
2013-11-30,4076.72,4123.11,3799.6,3877.83
2013-12-31,3854.76,3861.23,3557.7,3633.48
2014-01-31,3632.95,3948.6,3631.87,3920.34
2014-02-28,3919.38,4088.72,3849.28,3984.24
2014-03-31,4064.74,4238.19,3873.67,3878.12
2014-04-30,3879.45,4023.01,3844.4,3909.74
2014-05-31,3880.66,3995.13,3768.67,3791.73
2014-06-30,3786.64,4052.84,3750.16,4025.57
2014-07-31,4020.47,4089.94,3938.18,3996.61
2014-08-31,3998.49,4170.54,3996.82,4119.88
