Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-01-04,0.35131,0.35131,0.35131,0.35131
2010-01-05,0.35381,0.35381,0.35381,0.35381
2010-01-06,0.35096,0.35096,0.35096,0.35096
2010-01-07,0.34927,0.34927,0.34927,0.34927
2010-01-08,0.34864,0.34864,0.34864,0.34864
2010-01-11,0.35736,0.35736,0.35736,0.35736
2010-01-12,0.35503,0.35503,0.35503,0.35503
2010-01-13,0.35703,0.35703,0.35703,0.35703
2010-01-14,0.35804,0.35804,0.35804,0.35804
2010-01-15,0.35749,0.35749,0.35749,0.35749
2010-01-18,0.35661,0.35661,0.35661,0.35661
2010-01-19,0.35747,0.35747,0.35747,0.35747
2010-01-20,0.35341,0.35341,0.35341,0.35341
2010-01-21,0.34569,0.34569,0.34569,0.34569
2010-01-22,0.3474,0.3474,0.3474,0.3474
2010-01-25,0.34858,0.34858,0.34858,0.34858
2010-01-26,0.34402,0.34402,0.34402,0.34402
2010-01-27,0.34386,0.34386,0.34386,0.34386
2010-01-28,0.34534,0.34534,0.34534,0.34534
2010-01-29,0.34384,0.34384,0.34384,0.34384
2010-02-01,0.34738,0.34738,0.34738,0.34738
2010-02-02,0.34961,0.34961,0.34961,0.34961
2010-02-03,0.35309,0.35309,0.35309,0.35309
2010-02-04,0.34399,0.34399,0.34399,0.34399
2010-02-05,0.33428,0.33428,0.33428,0.33428
2010-02-08,0.33449,0.33449,0.33449,0.33449
2010-02-09,0.33701,0.33701,0.33701,0.33701
2010-02-10,0.33941,0.33941,0.33941,0.33941
2010-02-11,0.33895,0.33895,0.33895,0.33895
2010-02-12,0.33981,0.33981,0.33981,0.33981
2010-02-15,0.33843,0.33843,0.33843,0.33843
2010-02-16,0.33981,0.33981,0.33981,0.33981
2010-02-17,0.34474,0.34474,0.34474,0.34474
2010-02-18,0.34072,0.34072,0.34072,0.34072
2010-02-19,0.33718,0.33718,0.33718,0.33718
2010-02-22,0.34286,0.34286,0.34286,0.34286
2010-02-23,0.34435,0.34435,0.34435,0.34435
2010-02-24,0.33818,0.33818,0.33818,0.33818
2010-02-25,0.33783,0.33783,0.33783,0.33783
2010-02-26,0.34187,0.34187,0.34187,0.34187
2010-03-01,0.34613,0.34613,0.34613,0.34613
2010-03-02,0.34303,0.34303,0.34303,0.34303
2010-03-03,0.34744,0.34744,0.34744,0.34744
2010-03-04,0.3488,0.3488,0.3488,0.3488
2010-03-05,0.35004,0.35004,0.35004,0.35004
2010-03-08,0.35246,0.35246,0.35246,0.35246
2010-03-09,0.34993,0.34993,0.34993,0.34993
2010-03-10,0.3505,0.3505,0.3505,0.3505
2010-03-11,0.35013,0.35013,0.35013,0.35013
2010-03-12,0.35321,0.35321,0.35321,0.35321
2010-03-15,0.35151,0.35151,0.35151,0.35151
2010-03-16,0.3522,0.3522,0.3522,0.3522
2010-03-17,0.35609,0.35609,0.35609,0.35609
2010-03-18,0.35354,0.35354,0.35354,0.35354
2010-03-19,0.34876,0.34876,0.34876,0.34876
2010-03-22,0.34539,0.34539,0.34539,0.34539
2010-03-23,0.34717,0.34717,0.34717,0.34717
2010-03-24,0.34513,0.34513,0.34513,0.34513
2010-03-25,0.3429,0.3429,0.3429,0.3429
2010-03-26,0.34409,0.34409,0.34409,0.34409
2010-03-29,0.34645,0.34645,0.34645,0.34645
2010-03-30,0.34785,0.34785,0.34785,0.34785
2010-03-31,0.34819,0.34819,0.34819,0.34819
2010-04-01,0.3508,0.3508,0.3508,0.3508
2010-04-02,0.35179,0.35179,0.35179,0.35179
2010-04-06,0.34943,0.34943,0.34943,0.34943
2010-04-07,0.34874,0.34874,0.34874,0.34874
2010-04-08,0.34513,0.34513,0.34513,0.34513
2010-04-09,0.34924,0.34924,0.34924,0.34924
2010-04-12,0.35245,0.35245,0.35245,0.35245
2010-04-13,0.3497,0.3497,0.3497,0.3497
2010-04-14,0.35305,0.35305,0.35305,0.35305
2010-04-15,0.35099,0.35099,0.35099,0.35099
2010-04-16,0.34998,0.34998,0.34998,0.34998
2010-04-19,0.34472,0.34472,0.34472,0.34472
2010-04-20,0.3464,0.3464,0.3464,0.3464
2010-04-21,0.34734,0.34734,0.34734,0.34734
2010-04-22,0.34696,0.34696,0.34696,0.34696
2010-04-23,0.34308,0.34308,0.34308,0.34308
2010-04-26,0.34402,0.34402,0.34402,0.34402
2010-04-27,0.34296,0.34296,0.34296,0.34296
2010-04-28,0.33291,0.33291,0.33291,0.33291
2010-04-29,0.33794,0.33794,0.33794,0.33794
